EDUC_LEVEL,FAM_NO,AREA,WT_CROP,WT_IR_YN,WT_WA_CN_YN,WT_WA_RC,WT_GW,WT_PS,WT_SY_YN,WT_CR_YL_KG,WT_VL_CC,WT_SM_ST,WT_CP_NI_MN,SM_CROP,SM_IR_YN,SM_IR_WA_Y,SM_IR_TC,SM_GW,SM_PS,SM_CR_YL_KG,SM_CP_NI_MN,SM_VL_CC,SM_SM_ST,SM_RAIN_YN,CSM_AGR_YN,FL_USE,CR_RT_YN,SOIL_PROB,CA_YN,CA_CNS,CA_US_YN,CA_SS,CA_US_DT,CA_CC_VUL,CA_CC_RISK,CA_CC_ADAP,CA_CC_IMP,CA_CC_SS,NDVI_CV,PRECIPITAT,TEMPERATUR
no-schooling,6,5,Wheat,yes,yes,Low,90,Henbit (Weed),Yes,5000,Medium vulnerable,Medium,16000,Maize,Yes,Based on experience,Yes,90,POURPIER,2000,12400,Medium vulnerable,Dry,No,No,Subsistence/domestic use,Yes,Erosion,No,Lack of knowledge,No,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,TV,15.14389515,73.98238316,2.233525841
primary,9,1,Barley,yes,no,High,90,Aphids (Pest),No,2500,Medium vulnerable,Low,13000,Sorghum,Yes,Based on qualitative guess,No,90,Fusariose (Fusarium spp.),3000,13000,Medium vulnerable,Low,No,No,Selling in the market,Yes,Salinity,No,No finance,No,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,TV,17.00022591,109.1965008,1.4681191
university,6,20,Barley,yes,yes,High,60,Aphids (Pest),No,2800,Highly vulnerable,Medium,14140,Sorghum,Yes,Based on experience,No,60,Accarien,4000,17880,Highly vulnerable,Dry,No,No,Selling in the market,No,Salinity,No,Lack of machinery,No,Summer,Never,highly vulnerable,Drought,Improving irrigation practices,Water stress,Through apps,38.03592712,111.1706689,1.694936752
no-schooling,5,10,Chickpea,yes,no,Medium,90,Chickweed (Weed),No,1000,Low vulnerable,Dry,32103,luzerne,Yes,Based on experience,Yes,94,aneth,160,17640,Medium vulnerable,Dry,No,No,Subsistence/domestic use,Yes,Nothing,No,Lack of knowledge,Maybe,Summer,Never,Low vulnerable,Pests and diseases (due to climate change),Drought-resistant varieties,Increased pests/diseases,Radio,56.7456203,106.0769611,2.381088167
university,7,4,Barley,yes,yes,Medium,120,Henbit (Weed),Yes,2800,Medium vulnerable,Medium,30000,Sorghum,Yes,Based on crop water need,Yes,120,Anthracnose,3500,13700,Medium vulnerable,Dry,No,Yes,Selling in the market,Yes,Erosion,Yes(Rarely),Lack of machinery,Maybe,Summer,Sometimes,Medium vulnerable,Drought,Improving irrigation practices,Dust,Through apps,15.42360332,73.98238316,2.233525841
no-schooling,8,1,Wheat,yes,no,Medium,6,Fusarium Wilt (Disease),No,4000,Medium vulnerable,Dry,20000,Maize,Yes,Based on experience,No,80,Pyrale du Maïs,2000,11000,Medium vulnerable,Low,No,No,Subsistence/domestic use,Yes,Salinity,No,Pest and diseases,No idea,Summer,Never,Medium vulnerable,Drought,Adjusting sowing date,Lower yield,TV,17.00022591,109.1965008,1.4681191
postgraduate,4,20,Wheat,yes,yes,High,51,Aphids (Pest),No,3300,Highly vulnerable,Medium,12964,Maize,Yes,Based on experience,No,51,La pyrale du maïs,5000,34300,Highly vulnerable,Dry,No,Yes,Selling in the market,Yes,Salinity,Yes(Sometimes),Lack of machinery,Yes,Summer,Sometimes,highly vulnerable,Drought,Improving irrigation practices,Water stress,Through apps,37.83035691,111.1706689,1.694936752
primary,5,4,Rye,yes,yes,Low,100,Chickweed (Weed),Yes,2500,Medium vulnerable,Medium,11000,Maize,Yes,Based on experience,Yes,100,Corn Earworm (Helicoverpa zea),2200,16000,Medium vulnerable,Dry,Yes (Rarely),No,Selling in the market,Yes,Erosion,No,Lack of knowledge,No,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,From mosque,26.28419358,73.25761164,2.252265516
secondary,3,1,Fababean,yes,yes,Medium,90,Wild Oats (Weed),Yes,1700,Medium vulnerable,Low,11000,Sorghum,Yes,Based on experience,Yes,90,HELMINTHOSPOROISE,4000,15000,Medium vulnerable,Dry,No,Yes,Subsistence/domestic use,Yes,Salinity,Yes(Rarely),Pest and diseases,Maybe,Summer,Never,Medium vulnerable,Pests and diseases (due to climate change),Crop diversification,Increased pests/diseases,Newspaper,17.01603729,109.1965008,1.4681191
no-schooling,7,5,Fababean,yes,yes,Low,95,Shepherd's Purse (Weed),Yes,2000,Medium vulnerable,Medium,17500,Sorghum,Yes,Based on experience,Yes,95,PALMER AMARANTH,3500,16600,Medium vulnerable,Dry,No,No,Selling in the market,Yes,Erosion,No,Lack of knowledge,No,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,From mosque,24.36155694,73.25761164,2.252265516
no-schooling,12,1,Wheat,yes,no,Medium,110,Chickweed (Weed),No,4000,Medium vulnerable,Low,20000,Maize,Yes,Based on qualitative guess,No,90,PYRALE,20000,13000,Medium vulnerable,Low,No,No,Selling in the market,Yes,Salinity,No,Lack of machinery,No,Summer,Never,Medium vulnerable,Drought,Adjusting sowing date,Increased pests/diseases,TV,18.92975056,109.1965008,1.4681191
secondary,9,20,Fababean,no,yes,High,55,Aphids (Pest),No,2500,Highly vulnerable,Dry,9960,Maize,Yes,Based on experience,No,47,Ver de l’épi de maïs,3000,18640,Highly vulnerable,Dry,No,No,Subsistence/domestic use,No,Salinity,No,Lack of machinery,No,Summer,Never,highly vulnerable,Strong winds,Improving irrigation practices,Water stress,TV,31.11935543,111.1706689,1.694936752
secondary,6,15,Barley,yes,yes,Medium,100,Henbit (Weed),Yes,7000,Medium vulnerable,Medium,51000,Maize,Yes,Based on crop water need,Yes,100,CHENOPODE BLANC,3000,19900,Medium vulnerable,Dry,No,Maybe,Selling in the market,Yes,Erosion,Yes(Rarely),Lack of machinery,Maybe,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,Through apps,26.28419358,73.25761164,2.252265516
secondary,4,20,Wheat,yes,yes,Medium,94,Rust (Disease),Yes,4000,Medium vulnerable,Dry,42000,Maize,Yes,Based on experience,No,86,pourriture de la tige,2500,45150,Medium vulnerable,Dry,No,Maybe,Subsistence/domestic use,Yes,Arsenic,No,Crop varieties,Maybe,Winter,Sometimes,highly vulnerable,Drought,Crop diversification,Increased pests/diseases,Through apps,51.66843476,106.0769611,2.381088167
university,3,1,Wheat,yes,yes,High,100,Wild Oats (Weed),Yes,70000,Medium vulnerable,Medium,52000,Maize,Yes,Based on experience,Yes,90,brulure,13000,20000,Low vulnerable,Dry,No,Maybe,Subsistence/domestic use,Yes,Salinity,Yes(Rarely),Lack of machinery,Maybe,Summer,Never,Medium vulnerable,Heatwaves,Improving irrigation practices,Increased pests/diseases,Through apps,19.22652287,109.1965008,1.4681191
primary,8,15,Wheat,yes,yes,High,55,Aphids (Pest),No,2500,Highly vulnerable,Medium,11480,Sorghum,Yes,Based on experience,No,55,Puceron,2500,11180,Highly vulnerable,Dry,No,No,Subsistence/domestic use,No,Salinity,No,Lack of machinery,No,Summer,Never,highly vulnerable,Drought,Improving irrigation practices,Physical damage,TV,34.87202613,111.1706689,1.694936752
primary,8,1,Rye,yes,yes,Low,120,Shepherd's Purse (Weed),Yes,3000,Medium vulnerable,Medium,14000,Sorghum,Yes,Based on experience,Yes,120,PIGWEED,3500,16000,Medium vulnerable,Dry,No,No,Subsistence/domestic use,Yes,Nothing,No,Lack of knowledge,No,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,TV,22.84612002,73.25761164,2.252265516
no-schooling,8,2,Wheat,yes,no,High,120,Henbit (Weed),No,5000,Not aware,Low,20000,Maize,Yes,Based on crop water need,No,120,PUMAISE,15000,12000,Not aware,Dry,No,No,Selling in the market,Yes,Salinity,No,Lack of machinery,No idea,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,From mosque,19.46158082,109.1965008,1.4681191
secondary,8,10,Barley,yes,yes,High,44,Aphids (Pest),No,1900,Highly vulnerable,Medium,9500,Melon,Yes,Based on experience,No,44,Acariens,1700,60430,Highly vulnerable,Dry,No,No,Selling in the market,No,Salinity,No,Lack of machinery,No,Summer,Never,highly vulnerable,Drought,Improving irrigation practices,Water stress,TV,37.96253828,111.1706689,1.694936752
secondary,6,3,Lentil,yes,yes,Medium,110,Henbit (Weed),Yes,1500,Medium vulnerable,Medium,24000,TOMATE,Yes,Based on crop water need,Yes,110,Tomato Yellow Leaf Curl Virus (TYLCV,20000,85000,Medium vulnerable,Dry,No,Yes,Subsistence/domestic use,Yes,Erosion,No,Lack of machinery,Maybe,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,TV,34.97693967,73.25761164,2.252265516
primary,9,5,Lentil,yes,yes,Medium,120,Blight (Disease),Yes,1500,Medium vulnerable,Medium,23000,tomate,Yes,Based on crop water need,Yes,120,mildiou,20000,85000,Medium vulnerable,Dry,No,Maybe,Subsistence/domestic use,Yes,Salinity,No,Not profitable,Maybe,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,Radio,18.25719551,110.5142361,1.404882488
secondary,7,20,Lentil,yes,yes,High,49,Aphids (Pest),No,2000,Highly vulnerable,Medium,28840,Melon,Yes,Based on experience,No,49,Puceron ,19000,93120,Highly vulnerable,Dry,No,No,Selling in the market,No,Salinity,No,Lack of machinery,No,Summer,Sometimes,highly vulnerable,Drought,Improving irrigation practices,Water stress,Through apps,29.98719285,111.2541435,1.694823444
primary,4,10,Rye,yes,yes,Medium,90,Henbit (Weed),No,3000,Medium vulnerable,Medium,12200,Maize,Yes,Based on crop water need,Yes,90,POURPIER,2000,15000,Medium vulnerable,Dry,No,No,Selling in the market,Yes,Erosion,No,Lack of knowledge,No,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,TV,38.10616552,73.25761164,2.252265516
no-schooling,5,1,Rye,yes,yes,High,95,Shepherd's Purse (Weed),No,3000,Medium vulnerable,Low,11000,Maize,Yes,Based on crop water need,No,95,pumais,2000,14000,Medium vulnerable,Low,No,No,Selling in the market,Yes,Salinity,No,Lack of knowledge,No idea,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,Radio,15.80056979,110.5142361,1.404882488
no-schooling,9,2,Wheat,yes,yes,High,47,Aphids (Pest),No,2700,Highly vulnerable,Medium,9650,Maize,Yes,Based on experience,No,47,Pourriture racinaire (Pythium et Rhizoctonia),15000,52500,Highly vulnerable,Dry,No,No,Selling in the market,Yes,Salinity,No,Lack of machinery,No,Summer,Never,highly vulnerable,Drought,Improving irrigation practices,Water stress,TV,32.26689957,111.2541435,1.694823444
primary,3,2,Lentil,yes,no,Medium,95,Shepherd's Purse (Weed),No,950,Highly vulnerable,Dry,12705,Haricots,Yes,Based on crop water need,Yes,94,Phasealus vulgaris,3000,47040,Highly vulnerable,Dry,No,No,Selling in the market,Yes,Hardpan,No,Lack of knowledge,Maybe,Winter,Never,Medium vulnerable,Drought,Drought-resistant varieties,Increased pests/diseases,TV,39.13717709,99.88960902,2.496416886
secondary,6,3,Wheat,yes,yes,Medium,100,Henbit (Weed),Yes,4800,Medium vulnerable,Medium,35000,Maize,Yes,Based on crop water need,Yes,100,Amarante (Amaranthus spp.),2000,12000,Medium vulnerable,Dry,No,Maybe,Selling in the market,Yes,Erosion,Yes(Rarely),Lack of machinery,Maybe,Summer,Sometimes,Medium vulnerable,Drought,Improving irrigation practices,Dust,TV,23.5244105,73.25761164,2.252265516
primary,9,1,Wheat,yes,no,Medium,90,Shepherd's Purse (Weed),No,4500,Medium vulnerable,Medium,30000,Maize,Yes,Based on crop water need,No,90,BRULURE,2200,14000,Medium vulnerable,Dry,No,No,Selling in the market,Yes,Salinity,No,Lack of knowledge,No idea,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,TV,17.52261516,110.5142361,1.404882488
primary,5,15,Barley,yes,yes,High,53,Aphids (Pest),No,2200,Highly vulnerable,Medium,14800,Maize,Yes,Based on experience,No,53,Anthracnose (Colletotrichum),4000,20300,Highly vulnerable,Dry,No,No,Selling in the market,No,Salinity,No,Lack of machinery,No,Summer,Never,highly vulnerable,Drought,Improving irrigation practices,Water stress,TV,41.98270446,111.2541435,1.694823444
secondary,8,1,Barley,yes,yes,Medium,80,Blight (Disease),No,3000,Medium vulnerable,Medium,14000,Sorghum,Yes,Based on experience,Yes,80,tannique,3000,13000,Low vulnerable,Dry,No,Yes,Subsistence/domestic use,Yes,Salinity,No,No finance,Maybe,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,TV,16.8024596,110.5142361,1.404882488
primary,4,5,Barley,yes,yes,Medium,110,Shepherd's Purse (Weed),Yes,2800,Medium vulnerable,Medium,13500,Sorghum,Yes,Based on experience,Yes,110,PALMER AMARANTH,2900,12000,Medium vulnerable,Dry,No,Maybe,Selling in the market,Yes,Nothing,No,Lack of knowledge,Maybe,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,TV,23.41231982,73.25761164,2.252265516
no-schooling,5,5,Lentil,yes,yes,Medium,120,Shepherd's Purse (Weed),Yes,1500,Medium vulnerable,Medium,22000,Maize,Yes,Based on experience,Yes,120,Sorgho des champs (Sorghum halepense),2100,13000,Medium vulnerable,Dry,No,Maybe,Selling in the market,Yes,Erosion,No,Lack of knowledge,No,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,TV,21.66513144,73.25761164,2.252265516
secondary,3,1,Lentil,yes,yes,High,110,Blight (Disease),Yes,1700,Medium vulnerable,Medium,24000,Maize,Yes,Based on crop water need,Yes,110,ACARIENS,3000,14000,Medium vulnerable,Dry,No,Maybe,Subsistence/domestic use,Yes,Salinity,Yes(Regularly),Lack of machinery,Maybe,Summer,Never,Medium vulnerable,Pests and diseases (due to climate change),Improving irrigation practices,Dust,TV,15.64694438,110.5142361,1.404882488
no-schooling,3,1,Barley,yes,no,Medium,80,Rust (Disease),Yes,3500,Medium vulnerable,Dry,60000,Oignons ,Yes,Based on crop water need,Yes,78,Le  mildiou,20300,120050,Medium vulnerable,Dry,Yes (Sometimes),Maybe,Subsistence/domestic use,Yes,Nothing,No,Lack of knowledge,No idea,Winter,Never,Medium vulnerable,Drought,Relay cropping,Increased pests/diseases,TV,42.89375821,100.5444248,2.49432607
secondary,7,20,Wheat,yes,yes,High,50,Aphids (Pest),No,2500,Highly vulnerable,Medium,13440,Melon,Yes,Based on experience,No,50,"
Acariens
 ",21000,75000,Highly vulnerable,Dry,No,Yes,Selling in the market,Yes,Salinity,No,Lack of machinery,No,Summer,Sometimes,highly vulnerable,Drought,Improving irrigation practices,Water stress,Through apps,33.35114031,111.2541435,1.694823444
no-schooling,9,10,Fababean,yes,yes,Medium,80,Henbit (Weed),Yes,1600,Medium vulnerable,Medium,13000,TOMATE,Yes,Based on experience,Yes,80,PIGWEED,20000,50000,Medium vulnerable,Dry,No,No,Selling in the market,Yes,Nothing,No,Lack of knowledge,No,Summer,Never,highly vulnerable,Drought,Improving irrigation practices,Dust,From mosque,27.41690698,73.25761164,2.252265516
no-schooling,6,1,Fababean,yes,yes,Medium,95,Shepherd's Purse (Weed),No,1200,Medium vulnerable,Medium,11000,TOMATE,Yes,Based on crop water need,Yes,95,OIDIOU,14000,45000,Medium vulnerable,Dry,No,Maybe,Subsistence/domestic use,Yes,Salinity,No,No finance,No idea,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,TV,15.64694438,110.5142361,1.404882488
university,7,10,Wheat,yes,yes,Medium,100,Shepherd's Purse (Weed),Yes,7000,Medium vulnerable,Medium,45000,Maize,Yes,Based on crop water need,Yes,100,POURPIER,3000,15000,Medium vulnerable,Dry,No,Yes,Selling in the market,Yes,Erosion,Yes(Sometimes),Lack of machinery,Maybe,Summer,Sometimes,Medium vulnerable,Drought,Improving irrigation practices,Dust,Through apps,27.46121377,73.25761164,2.252265516
university,2,1,Wheat,yes,yes,Medium,105,Powdery Mildew (Disease),Yes,7000,Medium vulnerable,Medium,50000,Maize,Yes,Based on crop water need,Yes,105,PYRALE,3500,16000,Medium vulnerable,Dry,No,Yes,Subsistence/domestic use,Yes,Salinity,Yes(Rarely),No finance,Yes,Summer,Sometimes,Medium vulnerable,Drought,Improving irrigation practices,Dust,Extension agents,15.64694438,110.5142361,1.404882488
university,3,4,Wheat,yes,yes,High,49,Aphids (Pest),No,23000,Highly vulnerable,Medium,10854,Melon,Yes,Based on experience,No,49,Puceron ,30000,98580,Highly vulnerable,Dry,No,Yes,Selling in the market,Yes,Salinity,No,Lack of machinery,No,Summer,Sometimes,highly vulnerable,Drought,Improving irrigation practices,Water stress,Through apps,22.65432048,111.2541435,1.694823444
no-schooling,3,15,Chickpea,yes,no,Medium,93,Henbit (Weed),Yes,15000,Medium vulnerable,Dry,392000,Pomme de terre,Yes,Based on crop water need,Yes,90,mildiou,30000,168000,Medium vulnerable,Dry,Yes (Sometimes),No,Subsistence/domestic use,Yes,Nothing,No,Lack of machinery,No idea,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Lower yield,TV,33.84725934,95.04597121,2.473249267
primary,6,10,Rye,yes,yes,Medium,130,Shepherd's Purse (Weed),Yes,3200,Medium vulnerable,Medium,13000,Sorghum,Yes,Based on experience,Yes,130,JOHNSON GRASS,2800,11500,Medium vulnerable,Dry,No,Maybe,Subsistence/domestic use,Yes,Nothing,No,Lack of knowledge,Maybe,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,From mosque,27.50966151,73.25761164,2.252265516
no-schooling,9,1,Rye,yes,yes,Medium,120,Blight (Disease),No,3000,Medium vulnerable,Medium,10000,Maize,Yes,Based on experience,Yes,120,fasoriose,2500,10000,Medium vulnerable,Dry,No,No,Selling in the market,Yes,Salinity,No,Lack of knowledge,No idea,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,TV,15.64694438,110.5142361,1.404882488
primary,5,1,Barley,yes,yes,High,48,Aphids (Pest),No,2600,Highly vulnerable,Medium,12328,Melon,Yes,Based on experience,No,48,mildiou,28000,94403,Highly vulnerable,Dry,No,No,Selling in the market,No,Salinity,No,Lack of machinery,No,Summer,Never,highly vulnerable,Drought,Improving irrigation practices,Water stress,TV,22.65432048,111.2541435,1.694823444
primary,5,3,Lentil,yes,yes,Medium,100,Chickweed (Weed),No,1600,Medium vulnerable,Medium,22000,Maize,Yes,Based on qualitative guess,Yes,100,punaise,2000,10000,Medium vulnerable,Dry,No,No,Selling in the market,Yes,Salinity,No,Lack of knowledge,No idea,Summer,Never,Medium vulnerable,Pests and diseases (due to climate change),Improving irrigation practices,Dust,TV,15.50868848,110.5142361,1.404882488
secondary,6,2,Lentil,yes,yes,Medium,90,Henbit (Weed),Yes,1300,Medium vulnerable,Medium,21000,Maize,Yes,Based on experience,Yes,90,Gaillet gratteron (Galium aparine),2000,12000,Medium vulnerable,Dry,No,No,Selling in the market,Yes,Erosion,No,Lack of knowledge,No,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,From mosque,24.69830401,73.25761164,2.252265516
no-schooling,8,1,Fababean,yes,yes,High,54,Aphids (Pest),No,2700,Highly vulnerable,Medium,24120,Maize,Yes,Based on experience,No,54,Dessèchement (Setosphaeria turcica) ,7000,27470,Highly vulnerable,Dry,No,No,Selling in the market,Yes,Salinity,No,Lack of machinery,No,Summer,Never,highly vulnerable,Drought,Improving irrigation practices,Water stress,TV,45.80833533,111.2541435,1.694823444
no-schooling,5,4,Chickpea,yes,yes,Medium,98,Wild Oats (Weed),Yes,1000,Medium vulnerable,Medium,15000,Maize,Yes,Based on qualitative guess,Yes,98,PUMAISE,2000,12000,Medium vulnerable,Dry,No,No,Selling in the market,Yes,Salinity,No,Lack of machinery,No,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,Radio,18.2466274,110.5142361,1.404882488
secondary,6,2,Chickpea,yes,yes,Medium,80,Shepherd's Purse (Weed),Yes,1000,Medium vulnerable,Medium,16000,Maize,Yes,Based on experience,Yes,80,POURPIER,2000,11000,Medium vulnerable,Medium,No,No,Selling in the market,Yes,Erosion,No,Lack of knowledge,No,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,From mosque,33.13689463,73.25761164,2.252265516
no-schooling,7,3,Wheat,yes,yes,Medium,110,Shepherd's Purse (Weed),No,5500,Medium vulnerable,Medium,40000,Sorghum,Yes,Based on experience,Yes,110,PIGWEED,2500,10000,Medium vulnerable,Dry,No,No,Selling in the market,Yes,Nothing,No,Lack of knowledge,No,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,From mosque,23.41231982,73.25761164,2.252265516
primary,5,5,Wheat,yes,yes,High,105,Shepherd's Purse (Weed),No,4000,Medium vulnerable,Medium,35000,Sorghum,Yes,Based on crop water need,Yes,105,sepetoroise,2700,10000,Medium vulnerable,Dry,No,No,Selling in the market,Yes,Salinity,No,Lack of machinery,Yes,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Increased pests/diseases,Newspaper,21.42591561,109.1965008,1.4681191
university,8,15,Wheat,yes,yes,High,55,Aphids (Pest),No,3000,Highly vulnerable,Medium,14740,Pastèque,Yes,Based on experience,No,55,La mouches blanches,40000,55075,Highly vulnerable,Dry,No,No,Selling in the market,Yes,Salinity,No,Lack of machinery,No,Summer,Never,highly vulnerable,Drought,Improving irrigation practices,Water stress,TV,44.33734252,111.2541435,1.694823444
primary,7,4,Barley,yes,yes,Medium,89,Rust (Disease),No,2700,Medium vulnerable,Medium,15000,Maize,Yes,Based on crop water need,Yes,89,PYRALE,2000,12000,Medium vulnerable,Dry,No,No,Subsistence/domestic use,Yes,Salinity,No,Not profitable,Maybe,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,From mosque,21.42589798,109.1965008,1.4681191
secondary,8,2,Barley,yes,yes,Medium,100,Shepherd's Purse (Weed),Yes,2800,Medium vulnerable,Medium,18000,Maize,Yes,Based on crop water need,Yes,100,PANICORIGE,2000,11000,Medium vulnerable,Dry,No,Yes,Selling in the market,Yes,Erosion,Yes(Rarely),Lack of machinery,Maybe,Summer,Sometimes,Medium vulnerable,Drought,Improving irrigation practices,Dust,TV,33.13689463,73.25761164,2.252265516
